time(s),C_Active,L_Active,itp_Po,itp_Temp,itp_HR,itp_RR,itp_HRV
2364.4318,0.00088197003,0.001355675,-27.356921,0.0043994209,141.82462,65.214662,0.010477282
2364.5318,0.00085195519,0.0013201202,-27.355464,0.0044428019,141.82462,65.27894,0.010477282
2364.6318,0.00082194036,0.0012845655,-27.354008,0.0044861829,141.83,65.343218,0.010477282
2364.7318,0.00079192553,0.0012490108,-27.351554,0.0045295639,141.8354,65.407496,0.010477282
2364.8318,0.00076191069,0.0012134561,-27.346221,0.0045729449,141.8408,65.471774,0.010477282
2364.9318,0.00073189586,0.0011779013,-27.340889,0.0046163259,141.8462,65.536052,0.010477282
2365.0318,0.00080288108,0.0011423466,-27.335556,0.0046597069,141.84756,65.600329,0.010477282
2365.1318,0.00097769426,0.0011067919,-27.330224,0.0047030879,141.84756,65.664607,0.010477282
2365.2318,0.0011525074,0.0010712372,-27.325907,0.0047464689,141.84756,65.728885,0.010477282
2365.3318,0.0013273206,0.0010356824,-27.324532,0.0047898499,141.84756,65.793163,0.010477282
2365.4318,0.0015021338,0.0010113743,-27.323158,0.0048370582,141.84756,65.857441,0.01047695
2365.5318,0.001676947,0.00098754621,-27.321783,0.0048932891,141.84756,65.921719,0.010474916
2365.6318,0.0018517602,0.00096371816,-27.320408,0.00494952,141.84756,65.956733,0.010472881
2365.7318,0.0020265733,0.0009398901,-27.319385,0.0050057509,141.84756,65.97307,0.010470847
2365.8318,0.0022013865,0.00091606205,-27.319385,0.0050619818,141.84832,65.989406,0.010468813
2365.9318,0.0023761997,0.00089223399,-27.319385,0.0051182126,141.85104,66.005743,0.010457878
2366.0318,0.0022712245,0.00086840594,-27.319385,0.0051744435,141.85377,66.022079,0.010446438
2366.1318,0.0020969555,0.00084457788,-27.319385,0.0052306744,141.8565,66.038416,0.010434998
2366.2318,0.0019226865,0.00082074983,-27.319385,0.0052869053,141.85908,66.054753,0.010423559
2366.3318,0.0017484175,0.00081894593,-27.319385,0.0053431362,141.85908,66.071089,0.010402682
2366.4318,0.0015741484,0.00084015135,-27.319385,0.005399367,141.85908,66.087426,0.010378296
2366.5318,0.0013998794,0.00086135677,-27.319385,0.0054555979,141.85908,66.103762,0.01035391
2366.6318,0.0012256104,0.00088256218,-27.319385,0.0055118288,141.85908,66.120099,0.010329524
2366.7318,0.0010513414,0.0009037676,-27.319086,0.0055680597,141.95929,66.136435,0.010303582
2366.8318,0.00087707238,0.00092497302,-27.317905,0.0056242906,142.07868,66.169414,0.010276153
2366.9318,0.00072435116,0.00094617844,-27.316724,0.0056805215,142.19808,66.202484,0.010248725
2367.0318,0.00074417864,0.00096738385,-27.315543,0.0057367523,142.31747,66.235555,0.010221297
2367.1318,0.00076400612,0.00098858927,-27.314362,0.0057929832,142.44385,66.268626,0.010193003
2367.2318,0.0007838336,0.0010092153,-27.313479,0.0058492141,142.57428,66.301696,0.010162607
2367.3318,0.00080366107,0.00099999189,-27.313479,0.005905445,142.70471,66.334767,0.010132211
2367.4318,0.00082348855,0.0009907685,-27.313479,0.0059616759,142.83514,66.367837,0.010101815
2367.5318,0.00084331603,0.0009815451,-27.313479,0.0060179068,142.99196,66.400908,0.010073732
2367.6318,0.00086314351,0.00097232171,-27.313479,0.0060741376,143.18262,66.433979,0.010076211
2367.7318,0.00088297098,0.00096309831,-27.313479,0.0061303685,143.37328,66.467049,0.01007869
2367.8318,0.00090279846,0.00095387492,-27.313479,0.0061865994,143.56393,66.50012,0.010081168
2367.9318,0.001024621,0.00094465152,-27.313479,0.0062428303,143.75019,66.519094,0.010083647
2368.0318,0.0012877497,0.00093542813,-27.313479,0.0062990612,143.92344,66.519094,0.01009706
2368.1318,0.0015508785,0.00092620474,-27.313479,0.0063552921,144.09668,66.519094,0.010112421
2368.2318,0.0018140072,0.00095693486,-27.313924,0.0064115229,144.26993,66.519094,0.010127782
2368.3318,0.002077136,0.001020402,-27.315697,0.0064677538,144.44042,66.519094,0.010143143
2368.4318,0.0023402647,0.0010838691,-27.31747,0.0065239847,144.57718,66.519094,0.01016945
2368.5318,0.0026033935,0.0011473363,-27.319244,0.0065802156,144.71394,66.519094,0.010202305
2368.6318,0.0028665222,0.0012108034,-27.321017,0.0066364465,144.85069,66.519094,0.010235159
2368.7318,0.003129651,0.0012742705,-27.32099,0.0066926774,144.98745,66.519094,0.010268014
2368.8318,0.0033927797,0.0013377377,-27.315559,0.0067489082,145.11986,66.519094,0.010287659
2368.9318,0.0033496674,0.0014012048,-27.310128,0.0068051391,145.2518,66.519094,0.010287659
2369.0318,0.0031906687,0.0014646719,-27.304697,0.00686137,145.38374,66.519094,0.010287659
2369.1318,0.00303167,0.0015460719,-27.299266,0.0069176009,145.51568,66.56151,0.010287659
2369.2318,0.0028726713,0.0018365667,-27.295026,0.0069738318,145.5715,66.610575,0.010288549
2369.3318,0.0027136726,0.0021270615,-27.294383,0.0070300626,145.60003,66.65964,0.010293576
2369.4318,0.0025546738,0.0024175563,-27.293739,0.007080099,145.62857,66.708704,0.010298603
2369.5318,0.0023956751,0.0027080512,-27.293096,0.0071155322,145.6571,66.757769,0.010303631
2369.6318,0.0022366764,0.002998546,-27.292453,0.0071509654,145.7067,66.806834,0.010308658
2369.7318,0.0020776777,0.0032890408,-27.289147,0.0071863986,145.7722,66.855899,0.010282821
2369.8318,0.0019265844,0.0035795356,-27.277766,0.0072218318,145.83769,66.904964,0.010255416
2369.9318,0.0020034763,0.0038700305,-27.266385,0.007257265,145.90319,66.954029,0.010228011
2370.0318,0.0020803681,0.0041605253,-27.255005,0.0072926982,145.99291,67.003094,0.010200606
2370.1318,0.00215726,0.0086128716,-27.243624,0.0073281314,146.11798,67.052159,0.010166051
2370.2318,0.0022341518,0.015737627,-27.233603,0.0073635646,146.24306,67.088506,0.010128778
2370.3318,0.0023110437,0.022862383,-27.227728,0.0073989978,146.36813,67.0987,0.010091505
2370.4318,0.0023879355,0.029987139,-27.221854,0.007434431,146.48373,67.108895,0.010054232
2370.5318,0.0024648274,0.037111895,-27.21598,0.0074698642,146.57061,67.119089,0.010018758
2370.6318,0.0025417193,0.04423665,-27.210105,0.0075052974,146.6575,67.129284,0.0099851054
2370.7318,0.0026186111,0.051361406,-27.206622,0.0075407306,146.74438,67.139478,0.0099514524
2370.8318,0.0026574977,0.058486162,-27.21047,0.0075761639,146.83466,67.149673,0.0099177994
2370.9318,0.002623292,0.065610917,-27.214318,0.0076115971,146.95743,67.159868,0.0098874383
2371.0318,0.0025890863,0.071243554,-27.218166,0.0076470303,147.0802,67.170062,0.0098660492
2371.1318,0.0025548805,0.067628954,-27.222014,0.0076824635,147.20297,67.180257,0.0098446601
2371.2318,0.0025206748,0.064014354,-27.221921,0.0077178967,147.32574,67.190451,0.009823271
2371.3318,0.0024864691,0.060399755,-27.209687,0.0077533299,147.38378,67.200646,0.0098012761
